,IPA_Number,Symbol,Symbol_Name,Description,Voicing,Place_of_Articulation,Manner_of_Articulation,Height,Backness,Rounding,Status,UCS_Code,AFII_Code,name,url
107,291,ʞ,turned K,,,,,,,,withdrawn (1979),029E,E2F4,Back-released velar click,https://en.wikipedia.org//wiki/Back-released_velar_click
116,301,i,lower-case I,,,,,close,front,unrounded,,0069,E251,Close front unrounded vowel,https://en.wikipedia.org//wiki/Close_front_unrounded_vowel
117,302,e,lower-case E,,,,,close-mid,front,unrounded,,0065,E256,Close-mid front unrounded vowel,https://en.wikipedia.org//wiki/Close-mid_front_unrounded_vowel
118,303,ɛ,epsilon,,,,,open-mid,front,unrounded,,025B,E258,Open-mid front unrounded vowel,https://en.wikipedia.org//wiki/Open-mid_front_unrounded_vowel
119,304,a,lower-case A,,,,,open,front,unrounded,,0061,E25B,Open front unrounded vowel,https://en.wikipedia.org//wiki/Open_front_unrounded_vowel
120,305,ɑ,script A,,,,,open,back,unrounded,,0251,E26C,Open back unrounded vowel,https://en.wikipedia.org//wiki/Open_back_unrounded_vowel
121,306,ɔ,open O,,,,,open-mid,back,rounded,,0254,E26B,Open-mid back rounded vowel,https://en.wikipedia.org//wiki/Open-mid_back_rounded_vowel
122,307,o,lower-case O,,,,,close-mid,back,rounded,,006F,E269,Close-mid back rounded vowel,https://en.wikipedia.org//wiki/Close-mid_back_rounded_vowel
123,308,u,lower-case U,,,,,close,back,rounded,,0075,E265,Close back rounded vowel,https://en.wikipedia.org//wiki/Close_back_rounded_vowel
124,309,y,lower-case Y,,,,,close,front,rounded,,0079,E252,Close front rounded vowel,https://en.wikipedia.org//wiki/Close_front_rounded_vowel
125,310,ø,slashed O,,,,,close-mid,front,rounded,,00F8,E257,Close-mid front rounded vowel,https://en.wikipedia.org//wiki/Close-mid_front_rounded_vowel
126,311,œ,lower-case O-E ligature,,,,,open-mid,front,rounded,,0153,E259,Open-mid front rounded vowel,https://en.wikipedia.org//wiki/Open-mid_front_rounded_vowel
127,312,ɶ,small capital O-E ligature,,,,,open,front,rounded,,0276,E25C,Open front rounded vowel,https://en.wikipedia.org//wiki/Open_front_rounded_vowel
128,313,ɒ,turned script A,,,,,open,back,rounded,,0252,E26D,Open back rounded vowel,https://en.wikipedia.org//wiki/Open_back_rounded_vowel
129,314,ʌ,turned V,,,,,open-mid,back,unrounded,,028C,E26A,Open-mid back unrounded vowel,https://en.wikipedia.org//wiki/Open-mid_back_unrounded_vowel
130,315,ɤ,ram’s horns,,,,,close-mid,back,unrounded,,0264,E268,Close-mid back unrounded vowel,https://en.wikipedia.org//wiki/Close-mid_back_unrounded_vowel
131,316,ɯ,turned M,,,,,close,back,unrounded,,026F,E264,Close back unrounded vowel,https://en.wikipedia.org//wiki/Close_back_unrounded_vowel
132,317,ɨ,barred I,,,,,close,central,unrounded,,0268,E25D,Close central unrounded vowel,https://en.wikipedia.org//wiki/Close_central_unrounded_vowel
133,318,ʉ,barred U,,,,,close,central,rounded,,0289,E25E,Close central rounded vowel,https://en.wikipedia.org//wiki/Close_central_rounded_vowel
134,319,ɪ,small capital I,,,,,near-close,near-front,unrounded,,026A,E254,Near-close near-front unrounded vowel,https://en.wikipedia.org//wiki/Near-close_near-front_unrounded_vowel
135,320,ʏ,small capital Y,,,,,near-close,near-front,rounded,,028F,E255,Near-close near-front rounded vowel,https://en.wikipedia.org//wiki/Near-close_near-front_rounded_vowel
136,321,ʊ,upsilon,,,,,near-close,near-back,rounded,,028A,E267,Near-close near-back rounded vowel,https://en.wikipedia.org//wiki/Near-close_near-back_rounded_vowel
137,322,ə,schwa,,,,,mid,central,,,0259,E25F,Mid central vowel,https://en.wikipedia.org//wiki/Mid_central_vowel
138,323,ɵ,barred O,,,,,close-mid,central,rounded,,0275,E261,Close-mid central rounded vowel,https://en.wikipedia.org//wiki/Close-mid_central_rounded_vowel
139,324,ɐ,turned A,,,,,near-open,central,,,0250,E263,Near-open central vowel,https://en.wikipedia.org//wiki/Near-open_central_vowel
140,325,æ,ash;lower-case A-E ligature,,,,,near-open,front,unrounded,,00E6,E25A,Near-open front unrounded vowel,https://en.wikipedia.org//wiki/Near-open_front_unrounded_vowel
141,326,ɜ,reversed epsilon,,,,,open-mid,central,unrounded,,025C,E262,Open-mid central unrounded vowel,https://en.wikipedia.org//wiki/Open-mid_central_unrounded_vowel
144,395,ɞ,closed reversed epsilon,,,,,open-mid,central,rounded,,025E,E270,Open-mid central rounded vowel,https://en.wikipedia.org//wiki/Open-mid_central_rounded_vowel
146,397,ɘ,reversed E,,,,,close-mid,central,unrounded,,0258,E26E,Close-mid central unrounded vowel,https://en.wikipedia.org//wiki/Close-mid_central_unrounded_vowel
